--------- beginning of main
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 43: 28.11°C at 2025-08-21 17:22:08 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 44: 28.11°C at 2025-08-21 17:22:18 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 45: 28.11°C at 2025-08-21 17:22:28 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 46: 28.11°C at 2025-08-21 17:22:38 [EXCURSION]
08-25 17:47:56.790 27960 27960 D TemperatureHistoryAnalyzer: Point 47: 28.11°C at 2025-08-21 17:22:48 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 48: 28.11°C at 2025-08-21 17:22:58 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 49: 28.11°C at 2025-08-21 17:23:08 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 50: 28.11°C at 2025-08-21 17:23:18 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 51: 28.14°C at 2025-08-21 17:23:28 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 52: 28.07°C at 2025-08-21 17:23:38 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 53: 28.11°C at 2025-08-21 17:23:48 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 54: 28.11°C at 2025-08-21 17:23:58 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 55: 28.11°C at 2025-08-21 17:24:08 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 56: 28.11°C at 2025-08-21 17:24:18 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 57: 28.11°C at 2025-08-21 17:24:28 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 58: 28.14°C at 2025-08-21 17:24:38 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 59: 28.11°C at 2025-08-21 17:24:48 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 60: 28.11°C at 2025-08-21 17:24:58 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 61: 28.11°C at 2025-08-21 17:25:08 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 62: 28.14°C at 2025-08-21 17:25:18 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 63: 28.11°C at 2025-08-21 17:25:28 [EXCURSION]
08-25 17:47:56.791 27960 27960 D TemperatureHistoryAnalyzer: Point 64: 28.11°C at 2025-08-21 17:25:38 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 65: 28.14°C at 2025-08-21 17:25:48 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 66: 28.11°C at 2025-08-21 17:25:58 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 67: 28.14°C at 2025-08-21 17:26:08 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 68: 28.11°C at 2025-08-21 17:26:18 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 69: 28.11°C at 2025-08-21 17:26:28 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 70: 28.11°C at 2025-08-21 17:26:38 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 71: 28.14°C at 2025-08-21 17:26:48 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 72: 28.11°C at 2025-08-21 17:26:58 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 73: 28.11°C at 2025-08-21 17:27:08 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 74: 28.11°C at 2025-08-21 17:27:18 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 75: 28.11°C at 2025-08-21 17:27:28 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 76: 28.14°C at 2025-08-21 17:27:38 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 77: 28.11°C at 2025-08-21 17:27:48 [EXCURSION]
08-25 17:47:56.792 27960 27960 D TemperatureHistoryAnalyzer: Point 78: 28.14°C at 2025-08-21 17:27:58 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 79: 28.14°C at 2025-08-21 17:28:08 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 80: 28.14°C at 2025-08-21 17:28:18 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 81: 28.14°C at 2025-08-21 17:28:28 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 82: 28.14°C at 2025-08-21 17:28:38 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 83: 28.14°C at 2025-08-21 17:28:48 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 84: 28.14°C at 2025-08-21 17:28:58 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 85: 28.18°C at 2025-08-21 17:29:08 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 86: 28.14°C at 2025-08-21 17:29:18 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 87: 28.14°C at 2025-08-21 17:29:28 [EXCURSION]
08-25 17:47:56.793 27960 27960 D TemperatureHistoryAnalyzer: Point 88: 28.14°C at 2025-08-21 17:29:38 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 89: 28.14°C at 2025-08-21 17:29:48 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 90: 28.11°C at 2025-08-21 17:29:58 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 91: 28.14°C at 2025-08-21 17:30:08 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 92: 28.18°C at 2025-08-21 17:30:18 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 93: 28.18°C at 2025-08-21 17:30:28 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 94: 28.18°C at 2025-08-21 17:30:38 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 95: 28.14°C at 2025-08-21 17:30:48 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 96: 28.18°C at 2025-08-21 17:30:58 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 97: 28.18°C at 2025-08-21 17:31:08 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 98: 28.18°C at 2025-08-21 17:31:18 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 99: 28.18°C at 2025-08-21 17:31:28 [EXCURSION]
08-25 17:47:56.794 27960 27960 D TemperatureHistoryAnalyzer: Point 100: 28.18°C at 2025-08-21 17:31:38 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 101: 28.14°C at 2025-08-21 17:31:48 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 102: 28.18°C at 2025-08-21 17:31:58 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 103: 28.14°C at 2025-08-21 17:32:08 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 104: 28.14°C at 2025-08-21 17:32:18 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 105: 28.18°C at 2025-08-21 17:32:28 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 106: 28.14°C at 2025-08-21 17:32:38 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 107: 28.18°C at 2025-08-21 17:32:48 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 108: 28.14°C at 2025-08-21 17:32:58 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 109: 28.18°C at 2025-08-21 17:33:08 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 110: 28.18°C at 2025-08-21 17:33:18 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 111: 28.18°C at 2025-08-21 17:33:28 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 112: 28.18°C at 2025-08-21 17:33:38 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 113: 28.18°C at 2025-08-21 17:33:48 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 114: 28.14°C at 2025-08-21 17:33:58 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 115: 28.18°C at 2025-08-21 17:34:08 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 116: 28.18°C at 2025-08-21 17:34:18 [EXCURSION]
08-25 17:47:56.795 27960 27960 D TemperatureHistoryAnalyzer: Point 117: 28.18°C at 2025-08-21 17:34:28 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 118: 28.21°C at 2025-08-21 17:34:38 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 119: 28.18°C at 2025-08-21 17:34:48 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 120: 28.18°C at 2025-08-21 17:34:58 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 121: 28.18°C at 2025-08-21 17:35:08 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 122: 28.18°C at 2025-08-21 17:35:18 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 123: 28.18°C at 2025-08-21 17:35:28 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 124: 28.18°C at 2025-08-21 17:35:38 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 125: 28.14°C at 2025-08-21 17:35:48 [EXCURSION]
