--------- beginning of main
08-25 17:47:57.801 27960 27960 D TemperatureHistoryAnalyzer: Point 22817: 24.5°C at 2025-08-25 05:02:28 [EXCURSION]
08-25 17:47:57.801 27960 27960 D TemperatureHistoryAnalyzer: Point 22818: 24.5°C at 2025-08-25 05:02:38 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22819: 24.5°C at 2025-08-25 05:02:48 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22820: 24.5°C at 2025-08-25 05:02:58 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22821: 24.5°C at 2025-08-25 05:03:08 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22822: 24.5°C at 2025-08-25 05:03:18 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22823: 24.5°C at 2025-08-25 05:03:28 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22824: 24.5°C at 2025-08-25 05:03:38 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22825: 24.5°C at 2025-08-25 05:03:48 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22826: 24.54°C at 2025-08-25 05:03:58 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22827: 24.5°C at 2025-08-25 05:04:08 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22828: 24.5°C at 2025-08-25 05:04:18 [EXCURSION]
08-25 17:47:57.802 27960 27960 D TemperatureHistoryAnalyzer: Point 22829: 24.5°C at 2025-08-25 05:04:28 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22830: 24.5°C at 2025-08-25 05:04:38 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22831: 24.5°C at 2025-08-25 05:04:48 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22832: 24.5°C at 2025-08-25 05:04:58 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22833: 24.5°C at 2025-08-25 05:05:08 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22834: 24.46°C at 2025-08-25 05:05:18 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22835: 24.5°C at 2025-08-25 05:05:28 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22836: 24.5°C at 2025-08-25 05:05:38 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22837: 24.5°C at 2025-08-25 05:05:48 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22838: 24.5°C at 2025-08-25 05:05:58 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22839: 24.46°C at 2025-08-25 05:06:08 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22840: 24.5°C at 2025-08-25 05:06:18 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22841: 24.5°C at 2025-08-25 05:06:28 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22842: 24.5°C at 2025-08-25 05:06:38 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22843: 24.46°C at 2025-08-25 05:06:48 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22844: 24.5°C at 2025-08-25 05:06:58 [EXCURSION]
08-25 17:47:57.803 27960 27960 D TemperatureHistoryAnalyzer: Point 22845: 24.5°C at 2025-08-25 05:07:08 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22846: 24.5°C at 2025-08-25 05:07:18 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22847: 24.5°C at 2025-08-25 05:07:28 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22848: 24.46°C at 2025-08-25 05:07:38 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22849: 24.46°C at 2025-08-25 05:07:48 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22850: 24.5°C at 2025-08-25 05:07:58 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22851: 24.5°C at 2025-08-25 05:08:08 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22852: 24.46°C at 2025-08-25 05:08:18 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22853: 24.5°C at 2025-08-25 05:08:28 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22854: 24.5°C at 2025-08-25 05:08:38 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22855: 24.5°C at 2025-08-25 05:08:48 [EXCURSION]
08-25 17:47:57.804 27960 27960 D TemperatureHistoryAnalyzer: Point 22856: 24.5°C at 2025-08-25 05:08:58 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22857: 24.5°C at 2025-08-25 05:09:08 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22858: 24.46°C at 2025-08-25 05:09:18 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22859: 24.54°C at 2025-08-25 05:09:28 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22860: 24.5°C at 2025-08-25 05:09:38 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22861: 24.5°C at 2025-08-25 05:09:48 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22862: 24.5°C at 2025-08-25 05:09:58 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22863: 24.46°C at 2025-08-25 05:10:08 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22864: 24.5°C at 2025-08-25 05:10:18 [EXCURSION]
08-25 17:47:57.805 27960 27960 D TemperatureHistoryAnalyzer: Point 22865: 24.5°C at 2025-08-25 05:10:28 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22866: 24.5°C at 2025-08-25 05:10:38 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22867: 24.5°C at 2025-08-25 05:10:48 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22868: 24.5°C at 2025-08-25 05:10:58 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22869: 24.5°C at 2025-08-25 05:11:08 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22870: 24.5°C at 2025-08-25 05:11:18 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22871: 24.54°C at 2025-08-25 05:11:28 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22872: 24.5°C at 2025-08-25 05:11:38 [EXCURSION]
08-25 17:47:57.806 27960 27960 D TemperatureHistoryAnalyzer: Point 22873: 24.5°C at 2025-08-25 05:11:48 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22874: 24.5°C at 2025-08-25 05:11:58 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22875: 24.5°C at 2025-08-25 05:12:08 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22876: 24.5°C at 2025-08-25 05:12:18 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22877: 24.5°C at 2025-08-25 05:12:28 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22878: 24.5°C at 2025-08-25 05:12:38 [EXCURSION]
08-25 17:47:57.807 27960 27960 D TemperatureHistoryAnalyzer: Point 22879: 24.5°C at 2025-08-25 05:12:48 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22880: 24.5°C at 2025-08-25 05:12:58 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22881: 24.5°C at 2025-08-25 05:13:08 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22882: 24.5°C at 2025-08-25 05:13:18 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22883: 24.54°C at 2025-08-25 05:13:28 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22884: 24.5°C at 2025-08-25 05:13:38 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22885: 24.5°C at 2025-08-25 05:13:48 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22886: 24.5°C at 2025-08-25 05:13:58 [EXCURSION]
08-25 17:47:57.808 27960 27960 D TemperatureHistoryAnalyzer: Point 22887: 24.5°C at 2025-08-25 05:14:08 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22888: 24.5°C at 2025-08-25 05:14:18 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22889: 24.5°C at 2025-08-25 05:14:28 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22890: 24.5°C at 2025-08-25 05:14:38 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22891: 24.5°C at 2025-08-25 05:14:48 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22892: 24.5°C at 2025-08-25 05:14:58 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22893: 24.5°C at 2025-08-25 05:15:08 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22894: 24.5°C at 2025-08-25 05:15:18 [EXCURSION]
08-25 17:47:57.809 27960 27960 D TemperatureHistoryAnalyzer: Point 22895: 24.5°C at 2025-08-25 05:15:28 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22896: 24.5°C at 2025-08-25 05:15:38 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22897: 24.5°C at 2025-08-25 05:15:48 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22898: 24.5°C at 2025-08-25 05:15:58 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22899: 24.54°C at 2025-08-25 05:16:08 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22900: 24.5°C at 2025-08-25 05:16:18 [EXCURSION]
08-25 17:47:57.810 27960 27960 D TemperatureHistoryAnalyzer: Point 22901: 24.5°C at 2025-08-25 05:16:28 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22902: 24.5°C at 2025-08-25 05:16:38 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22903: 24.5°C at 2025-08-25 05:16:48 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22904: 24.5°C at 2025-08-25 05:16:58 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22905: 24.5°C at 2025-08-25 05:17:08 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22906: 24.54°C at 2025-08-25 05:17:18 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22907: 24.5°C at 2025-08-25 05:17:28 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22908: 24.46°C at 2025-08-25 05:17:38 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22909: 24.5°C at 2025-08-25 05:17:48 [EXCURSION]
08-25 17:47:57.811 27960 27960 D TemperatureHistoryAnalyzer: Point 22910: 24.5°C at 2025-08-25 05:17:58 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22911: 24.5°C at 2025-08-25 05:18:08 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22912: 24.5°C at 2025-08-25 05:18:18 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22913: 24.5°C at 2025-08-25 05:18:28 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22914: 24.5°C at 2025-08-25 05:18:38 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22915: 24.5°C at 2025-08-25 05:18:48 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22916: 24.46°C at 2025-08-25 05:18:58 [EXCURSION]
08-25 17:47:57.812 27960 27960 D TemperatureHistoryAnalyzer: Point 22917: 24.46°C at 2025-08-25 05:19:08 [EXCURSION]
08-25 17:47:57.813 27960 27960 D TemperatureHistoryAnalyzer: Point 22918: 24.5°C at 2025-08-25 05:19:18 [EXCURSION]
08-25 17:47:57.813 27960 27960 D TemperatureHistoryAnalyzer: Point 22919: 24.5°C at 2025-08-25 05:19:28 [EXCURSION]
08-25 17:47:57.813 27960 27960 D TemperatureHistoryAnalyzer: Point 22920: 24.5°C at 2025-08-25 05:19:38 [EXCURSION]
08-25 17:47:58.785 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20866: 24.46°C at 2025-08-24 23:37:18
08-25 17:47:58.785 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20865: 24.5°C at 2025-08-24 23:37:08
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20864: 24.46°C at 2025-08-24 23:36:58
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20863: 24.5°C at 2025-08-24 23:36:48
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20862: 24.5°C at 2025-08-24 23:36:38
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20861: 24.5°C at 2025-08-24 23:36:28
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20860: 24.5°C at 2025-08-24 23:36:18
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20859: 24.5°C at 2025-08-24 23:36:08
08-25 17:47:58.786 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20858: 24.5°C at 2025-08-24 23:35:58
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20857: 24.5°C at 2025-08-24 23:35:48
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20856: 24.5°C at 2025-08-24 23:35:38
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20855: 24.5°C at 2025-08-24 23:35:28
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20854: 24.5°C at 2025-08-24 23:35:18
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20853: 24.5°C at 2025-08-24 23:35:08
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20852: 24.5°C at 2025-08-24 23:34:58
08-25 17:47:58.787 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20851: 24.46°C at 2025-08-24 23:34:48
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20850: 24.5°C at 2025-08-24 23:34:38
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20849: 24.46°C at 2025-08-24 23:34:28
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20848: 24.5°C at 2025-08-24 23:34:18
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20847: 24.5°C at 2025-08-24 23:34:08
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20846: 24.5°C at 2025-08-24 23:33:58
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20845: 24.5°C at 2025-08-24 23:33:48
08-25 17:47:58.788 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20844: 24.5°C at 2025-08-24 23:33:38
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20843: 24.46°C at 2025-08-24 23:33:28
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20842: 24.5°C at 2025-08-24 23:33:18
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20841: 24.43°C at 2025-08-24 23:33:08
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20840: 24.5°C at 2025-08-24 23:32:58
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20839: 24.46°C at 2025-08-24 23:32:48
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20838: 24.46°C at 2025-08-24 23:32:38
08-25 17:47:58.789 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20837: 24.46°C at 2025-08-24 23:32:28
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20836: 24.5°C at 2025-08-24 23:32:18
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20835: 24.46°C at 2025-08-24 23:32:08
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20834: 24.43°C at 2025-08-24 23:31:58
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20833: 24.46°C at 2025-08-24 23:31:48
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20832: 24.46°C at 2025-08-24 23:31:38
08-25 17:47:58.790 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20831: 24.5°C at 2025-08-24 23:31:28
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20830: 24.43°C at 2025-08-24 23:31:18
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20829: 24.46°C at 2025-08-24 23:31:08
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20828: 24.5°C at 2025-08-24 23:30:58
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20827: 24.46°C at 2025-08-24 23:30:48
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20826: 24.5°C at 2025-08-24 23:30:38
08-25 17:47:58.791 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20825: 24.5°C at 2025-08-24 23:30:28
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20824: 24.5°C at 2025-08-24 23:30:18
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20823: 24.43°C at 2025-08-24 23:30:08
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20822: 24.46°C at 2025-08-24 23:29:58
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20821: 24.46°C at 2025-08-24 23:29:48
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20820: 24.46°C at 2025-08-24 23:29:38
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20819: 24.46°C at 2025-08-24 23:29:28
08-25 17:47:58.792 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20818: 24.46°C at 2025-08-24 23:29:18
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20817: 24.46°C at 2025-08-24 23:29:08
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20816: 24.5°C at 2025-08-24 23:28:58
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20815: 24.46°C at 2025-08-24 23:28:48
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20814: 24.5°C at 2025-08-24 23:28:38
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20813: 24.5°C at 2025-08-24 23:28:28
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20812: 24.46°C at 2025-08-24 23:28:18
08-25 17:47:58.793 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20811: 24.46°C at 2025-08-24 23:28:08
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20810: 24.43°C at 2025-08-24 23:27:58
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20809: 24.43°C at 2025-08-24 23:27:48
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20808: 24.46°C at 2025-08-24 23:27:38
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20807: 24.43°C at 2025-08-24 23:27:28
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20806: 24.43°C at 2025-08-24 23:27:18
08-25 17:47:58.794 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20805: 24.43°C at 2025-08-24 23:27:08
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20804: 24.46°C at 2025-08-24 23:26:58
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20803: 24.43°C at 2025-08-24 23:26:48
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20802: 24.46°C at 2025-08-24 23:26:38
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20801: 24.46°C at 2025-08-24 23:26:28
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20800: 24.43°C at 2025-08-24 23:26:18
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20799: 24.43°C at 2025-08-24 23:26:08
08-25 17:47:58.795 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20798: 24.46°C at 2025-08-24 23:25:58
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20797: 24.46°C at 2025-08-24 23:25:48
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20796: 24.46°C at 2025-08-24 23:25:38
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20795: 24.5°C at 2025-08-24 23:25:28
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20794: 24.43°C at 2025-08-24 23:25:18
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20793: 24.43°C at 2025-08-24 23:25:08
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20792: 24.43°C at 2025-08-24 23:24:58
08-25 17:47:58.796 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20791: 24.43°C at 2025-08-24 23:24:48
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20790: 24.46°C at 2025-08-24 23:24:38
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20789: 24.46°C at 2025-08-24 23:24:28
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20788: 24.46°C at 2025-08-24 23:24:18
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20787: 24.46°C at 2025-08-24 23:24:08
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20786: 24.46°C at 2025-08-24 23:23:58
08-25 17:47:58.797 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20785: 24.46°C at 2025-08-24 23:23:48
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20784: 24.43°C at 2025-08-24 23:23:38
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20783: 24.43°C at 2025-08-24 23:23:28
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20782: 24.46°C at 2025-08-24 23:23:18
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20781: 24.46°C at 2025-08-24 23:23:08
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20780: 24.43°C at 2025-08-24 23:22:58
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20779: 24.46°C at 2025-08-24 23:22:48
08-25 17:47:58.798 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20778: 24.43°C at 2025-08-24 23:22:38
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20777: 24.46°C at 2025-08-24 23:22:28
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20776: 24.43°C at 2025-08-24 23:22:18
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20775: 24.46°C at 2025-08-24 23:22:08
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20774: 24.46°C at 2025-08-24 23:21:58
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20773: 24.43°C at 2025-08-24 23:21:48
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20772: 24.43°C at 2025-08-24 23:21:38
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20771: 24.43°C at 2025-08-24 23:21:28
08-25 17:47:58.799 27960 27960 D TemperatureHistoryAnalyzer: Looking backwards at point 20770: 24.46°C at 2025-08-24 23:21:18
